n size,m size,linear time,naive time
30000,3,2.887107599992305,1.008756600000197
60000,6,2.5002727000101004,1.6199357000004966
90000,9,3.99847979999322,2.1562601999903563
120000,12,4.256732299996656,2.5030668999970658
150000,15,6.033083599992096,2.9650635000143666
180000,18,7.0074230000027455,3.813509300001897
210000,21,8.238806199995452,5.024063999997452
240000,24,8.668145000003278,5.529448800007231
270000,27,10.682529099998646,8.169730499997968
300000,30,11.6222737999924,6.701069200003985
330000,33,12.601160299993353,6.849628700001631
360000,36,14.154023100010818,8.193011499999557
390000,39,14.417962899999111,8.085503800000879
420000,42,16.399419299996225,10.340146499991533
450000,45,17.104096399998525,11.884588600005372
480000,48,18.749376300009317,9.819811900000786
510000,51,18.072219499998027,10.57837329999893
540000,54,20.651628700012225,11.143152899996494
570000,57,20.02448390000791,11.74437639999087
600000,60,21.067711700001382,11.99242010001035
